avg_travel_time,GEOID
36.92,06037402705
35.37,06037402706
32.04,06037402801
34.35,06037402803
28.82,06037402804
34.65,06037402902
43.02,06037402903
32.23,06037402904
30.0,06037403000
37.71,06037403305
39.67,06037403316
38.51,06037403317
35.14,06037403318
33.32,06037403319
40.06,06037403320
37.56,06037403321
34.45,06037403323
34.76,06037403324
41.97,06037403325
33.42,06037403326
37.78,06037403327
41.52,06037403328
36.92,06037403401
37.15,06037403402
33.36,06037403403
31.77,06037403404
37.52,06037403407
43.24,06037403408
36.39,06037403409
40.29,06037403500
40.05,06037403601
32.65,06037403702
38.08,06037403703
34.65,06037403721
34.72,06037403722
31.89,06037403801
37.4,06037403802
40.5,06037403901
33.02,06037403902
38.87,06037404000
38.64,06037404100
33.38,06037404201
33.17,06037404203
30.11,06037404301
40.01,06037404302
28.58,06037404401
34.43,06037404402
30.32,06037404501
37.12,06037404503
31.04,06037404504
30.14,06037404600
33.71,06037404701
36.34,06037404702
38.91,06037404703
29.71,06037404804
26.79,06037404805
30.53,06037404806
24.69,06037404901
35.12,06037404902
36.23,06037404903
29.66,06037405001
37.25,06037405002
30.43,06037405101
34.81,06037405102
36.33,06037405201
27.98,06037405202
31.81,06037405203
28.85,06037405301
30.38,06037405302
33.87,06037405400
38.26,06037405500
37.87,06037405600
29.67,06037405701
34.11,06037405702
35.24,06037405800
34.01,06037405900
38.82,06037406000
36.17,06037406101
35.11,06037406103
34.24,06037406201
34.25,06037406300
31.21,06037406413
37.49,06037406500
37.43,06037406601
36.22,06037406602
37.46,06037406701
34.94,06037406702
37.03,06037406801
31.61,06037406903
37.89,06037407001
35.24,06037407002
29.2,06037407101
34.59,06037407102
36.68,06037407201
35.19,06037407202
36.46,06037407301
33.56,06037407302
34.11,06037407400
34.05,06037407501
41.56,06037407502
30.44,06037407601
38.89,06037407602
36.97,06037407701
32.88,06037407702
31.81,06037407801
33.36,06037407802
37.7,06037407901
40.58,06037407902
34.05,06037408003
37.99,06037408004
44.49,06037408005
38.87,06037408006
34.89,06037408133
37.29,06037408134
35.69,06037408135
40.84,06037408136
33.69,06037408137
33.54,06037408138
33.49,06037408139
27.39,06037408140
28.16,06037408141
32.73,06037408212
35.4,06037408213
34.79,06037408301
38.69,06037408302
33.02,06037408303
29.65,06037408401
37.05,06037408402
39.84,06037408503
37.59,06037408504
29.43,06037408505
38.61,06037408623
32.62,06037408624
43.39,06037408625
31.89,06037408626
37.56,06037408627
