avg_vehicles_per_household,GEOID
1.86,06037237900
1.74,06037238000
1.59,06037238100
1.33,06037238200
1.56,06037238310
1.13,06037238320
1.71,06037238400
1.9,06037239201
1.62,06037239202
1.57,06037239310
1.95,06037239320
2.15,06037239330
1.87,06037239501
1.93,06037239502
1.66,06037239601
1.89,06037239602
1.71,06037239701
1.84,06037239702
2.28,06037239801
1.55,06037239802
1.6,06037240010
1.92,06037240020
1.78,06037240200
1.76,06037240301
1.93,06037240302
1.82,06037240401
1.78,06037240402
1.56,06037240500
1.83,06037240600
2.0,06037240700
1.9,06037240800
2.29,06037240901
1.99,06037240902
2.17,06037241001
1.71,06037241002
2.09,06037241110
1.25,06037241120
1.93,06037241201
1.56,06037241202
1.68,06037241300
1.88,06037241400
1.71,06037242000
1.07,06037242100
2.2,06037242201
1.68,06037242202
1.47,06037242300
0.78,06037242600
1.96,06037242700
1.98,06037243001
2.48,06037243002
1.55,06037243100
2.43,06037261102
1.74,06037261103
1.76,06037261104
2.12,06037261200
2.18,06037262100
2.08,06037262200
2.13,06037262301
1.69,06037262302
2.39,06037262303
2.19,06037262400
1.86,06037262501
1.95,06037262601
1.91,06037262604
1.84,06037262704
1.84,06037262706
1.75,06037262802
1.94,06037264000
1.44,06037264102
1.39,06037264103
1.39,06037264303
1.41,06037264304
1.61,06037264305
1.48,06037264306
1.45,06037265100
1.8,06037265201
1.3,06037265203
1.05,06037265204
0.0,06037265301
1.23,06037265303
1.15,06037265304
1.22,06037265306
0.71,06037265307
1.94,06037265410
1.79,06037265420
1.08,06037265521
1.29,06037265522
1.47,06037265523
1.53,06037265524
1.39,06037265601
1.45,06037265602
1.67,06037265701
1.4,06037265702
1.48,06037267101
1.42,06037267102
1.44,06037267201
1.6,06037267202
1.32,06037267300
1.39,06037267403
1.35,06037267404
1.36,06037267405
1.29,06037267406
1.42,06037267502
1.46,06037267503
1.23,06037267504
1.34,06037267600
1.34,06037267700
1.52,06037267800
1.16,06037267901
1.47,06037267902
1.81,06037269000
1.28,06037269100
1.99,06037269300
2.18,06037269500
1.68,06037269601
1.62,06037269602
1.7,06037269700
1.47,06037269800
1.15,06037269903
1.31,06037269905
1.31,06037269906
1.34,06037269907
1.06,06037269908
1.26,06037269909
1.3,06037270101
1.42,06037270102
1.74,06037270200
1.43,06037270300
1.7,06037271100
1.32,06037271200
1.83,06037271300
1.85,06037271400
1.7,06037271500
1.45,06037271600
1.36,06037271702
1.61,06037271703
1.43,06037271704
1.42,06037271801
1.26,06037271803
1.6,06037271804
1.63,06037271901
1.58,06037271902
1.8,06037272100
1.36,06037272201
1.44,06037272202
1.66,06037272301
1.23,06037272302
1.56,06037273100
1.3,06037273200
1.25,06037273300
0.83,06037273403
1.05,06037273404
1.27,06037273502
1.47,06037273600
1.74,06037273700
1.41,06037273800
1.42,06037273902
1.48,06037274100
1.4,06037274202
1.91,06037275101
1.55,06037275102
1.43,06037275200
1.51,06037275311
1.55,06037275312
1.73,06037275313
1.5,06037275400
1.63,06037275500
1.78,06037275603
1.5,06037275604
1.37,06037275605
1.83,06037276000
1.35,06037276101
1.49,06037276102
2.23,06037276400
2.08,06037276500
2.04,06037276601
1.4,06037276605
1.58,06037276606
1.45,06037276607
1.41,06037276608
2.21,06037277000
2.18,06037277100
1.48,06037277200
0.0,06037277400
1.56,06037278001
1.78,06037278102
1.21,06037291110
1.87,06037291120
2.19,06037291130
1.93,06037291210
1.65,06037291220
2.13,06037291300
1.79,06037292001
2.5,06037292002
1.96,06037293203
2.27,06037293204
1.85,06037293205
1.87,06037293206
2.17,06037293301
2.1,06037293302
1.89,06037293304
2.1,06037293306
1.8,06037293307
2.34,06037294110
2.29,06037294120
2.12,06037294200
2.46,06037294301
2.2,06037294302
1.55,06037294410
1.8,06037294421
1.99,06037294510
2.09,06037294520
2.12,06037294610
2.35,06037294620
1.57,06037294701
1.7,06037294810
1.41,06037294820
1.96,06037294830
1.84,06037294900
1.85,06037295103
1.79,06037296210
1.11,06037296220
1.67,06037296300
1.9,06037296401
2.06,06037296402
1.58,06037296500
1.49,06037296600
1.83,06037296901
1.87,06037296902
2.15,06037297001
1.95,06037297002
1.45,06037297110
1.92,06037297120
1.69,06037297201
1.72,06037297202
1.81,06037297300
1.91,06037297400
2.18,06037297501
1.8,06037297502
1.6,06037297601
1.57,06037297602
2.19,06037300100
2.08,06037300200
2.05,06037300301
2.23,06037300400
2.0,06037300501
1.51,06037300503
1.7,06037300601
1.75,06037300602
2.02,06037300701
2.0,06037300702
1.83,06037300800
2.14,06037300901
2.14,06037300902
1.98,06037301000
1.66,06037301100
1.43,06037301203
1.28,06037301204
2.12,06037301205
1.68,06037301206
2.32,06037301300
2.16,06037301400
2.36,06037301501
1.57,06037301502
1.25,06037301601
1.48,06037301602
1.76,06037301701
1.89,06037301702
1.28,06037301801
1.36,06037301802
1.62,06037301901
1.77,06037301902
1.43,06037302002
1.36,06037302003
1.34,06037302004
1.71,06037302102
1.48,06037302103
1.44,06037302104
1.0,06037302201
1.2,06037302202
1.53,06037302301
1.41,06037302302
1.45,06037302401
1.39,06037302503
1.23,06037302504
1.38,06037302505
1.72,06037302506
2.1,06037310100
1.74,06037310201
1.75,06037310202
2.14,06037310300
1.92,06037310400
1.33,06037310501
1.55,06037310601
1.66,06037310602
1.14,06037310701
1.57,06037310703
1.09,06037310704
1.05,06037310705
1.93,06037310800
2.06,06037310900
1.93,06037311000
1.91,06037311100
1.99,06037311200
1.88,06037311300
1.67,06037311400
1.71,06037311500
1.69,06037311601
1.31,06037311602
1.75,06037311700
1.42,06037311801
1.75,06037311802
2.44,06037320101
3.02,06037320102
1.86,06037320201
2.56,06037320202
1.92,06037320300
2.49,06037400205
2.48,06037400206
2.37,06037400207
2.43,06037400208
2.37,06037400209
1.91,06037400304
2.34,06037400402
2.23,06037400403
2.49,06037400404
2.29,06037400501
2.12,06037400602
1.98,06037400603
1.86,06037400605
2.18,06037400801
2.36,06037401001
1.94,06037401002
2.25,06037401101
1.98,06037401102
2.37,06037401201
2.33,06037401202
2.27,06037401203
2.28,06037401303
2.28,06037401304
2.07,06037401311
1.79,06037401312
2.08,06037401500
1.74,06037401601
1.77,06037401602
2.41,06037401705
1.75,06037401706
1.9,06037401707
1.99,06037401801
2.0,06037401802
1.36,06037401901
1.46,06037401902
2.08,06037402001
1.69,06037402002
2.97,06037402101
2.57,06037402102
2.2,06037402200
2.47,06037402301
2.0,06037402303
1.91,06037402304
2.48,06037402403
2.0,06037402404
3.05,06037402405
2.11,06037402406
1.75,06037402501
2.13,06037402503
1.81,06037402504
2.44,06037402601
1.81,06037402602
1.66,06037402702
2.56,06037402703
2.73,06037402705
2.6,06037402706
2.11,06037402801
2.71,06037402803
2.2,06037402804
2.02,06037402902
2.29,06037402903
2.85,06037402904
2.85,06037403000
2.31,06037403305
2.1,06037403316
2.33,06037403317
2.05,06037403318
2.0,06037403319
2.47,06037403320
2.36,06037403321
2.14,06037403323
2.26,06037403324
1.92,06037403325
2.24,06037403326
2.33,06037403327
2.26,06037403328
2.14,06037403401
2.22,06037403402
2.54,06037403403
2.47,06037403404
2.81,06037403407
2.53,06037403408
2.29,06037403409
2.09,06037403500
2.55,06037403601
2.46,06037403702
2.35,06037403703
2.24,06037403721
2.04,06037403722
1.91,06037403801
2.12,06037403802
2.53,06037403901
2.18,06037403902
2.33,06037404000
2.7,06037404100
1.9,06037404201
2.4,06037404203
2.29,06037404301
2.59,06037404302
2.12,06037404401
2.84,06037404402
2.23,06037404501
2.08,06037404503
1.64,06037404504
2.56,06037404600
2.51,06037404701
2.39,06037404702
2.36,06037404703
2.46,06037404804
1.99,06037404805
2.21,06037404806
2.76,06037404901
2.4,06037404902
2.47,06037404903
2.79,06037405001
2.76,06037405002
2.61,06037405101
1.89,06037405102
2.24,06037405201
2.32,06037405202
2.83,06037405203
1.81,06037405301
2.3,06037405302
2.71,06037405400
2.39,06037405500
2.35,06037405600
2.2,06037405701
2.26,06037405702
2.35,06037405800
2.28,06037405900
2.46,06037406000
1.93,06037406101
2.0,06037406103
1.69,06037406201
2.27,06037406300
2.3,06037406413
2.64,06037406500
2.28,06037406601
2.41,06037406602
2.43,06037406701
2.21,06037406702
2.68,06037406801
2.13,06037406903
2.7,06037407001
2.71,06037407002
2.19,06037407101
2.68,06037407102
2.53,06037407201
2.72,06037407202
2.53,06037407301
2.55,06037407302
2.56,06037407400
2.59,06037407501
3.04,06037407502
2.35,06037407601
2.59,06037407602
2.29,06037407701
2.64,06037407702
3.13,06037407801
2.89,06037407802
2.86,06037407901
2.34,06037407902
2.78,06037408003
2.0,06037408004
2.4,06037408005
2.14,06037408006
2.03,06037408133
2.35,06037408134
2.07,06037408135
2.51,06037408136
1.98,06037408137
2.43,06037408138
3.08,06037408139
2.52,06037408140
2.47,06037408141
2.08,06037408212
2.1,06037408213
2.73,06037408301
2.44,06037408302
2.83,06037408303
2.29,06037408401
2.62,06037408402
2.67,06037408503
2.18,06037408504
2.42,06037408505
2.13,06037408623
2.26,06037408624
2.36,06037408625
2.26,06037408626
2.53,06037408627
1.78,06037408628
2.52,06037408629
2.38,06037408631
2.61,06037408703
2.15,06037408705
2.41,06037408707
2.53,06037408722
1.72,06037408724
2.1,06037408725
1.57,06037408800
1.73,06037408900
2.2,06037409000
2.42,06037409100
2.42,06037430003
1.75,06037430004
2.2,06037430005
1.54,06037430101
2.51,06037430102
2.04,06037430200
2.28,06037430301
1.72,06037430302
2.51,06037430400
1.98,06037430501
1.76,06037430502
2.47,06037430600
1.96,06037430701
1.69,06037430721
1.77,06037430723
1.47,06037430724
1.86,06037430801
2.32,06037430802
2.24,06037430803
1.74,06037430901
1.85,06037430902
1.82,06037431002
1.97,06037431003
1.78,06037431004
2.0,06037431100
2.58,06037431200
2.42,06037431300
1.93,06037431400
1.77,06037431501
2.07,06037431502
1.96,06037431600
2.28,06037431701
1.77,06037431800
1.88,06037431900
2.33,06037432001
2.0,06037432002
2.39,06037432101
2.24,06037432102
2.2,06037432201
1.94,06037432202
2.13,06037432300
2.31,06037432401
1.89,06037432402
2.13,06037432501
3.11,06037432502
2.26,06037432601
2.64,06037432602
1.94,06037432700
1.38,06037432801
1.53,06037432802
1.93,06037432901
2.47,06037432902
2.14,06037433103
2.0,06037433200
2.14,06037433302
1.62,06037433304
1.76,06037433305
2.11,06037433306
2.0,06037433307
2.27,06037433402
1.88,06037433403
2.1,06037433505
1.74,06037433506
2.29,06037433601
1.88,06037433602
2.22,06037433803
2.2,06037433804
1.96,06037433901
1.94,06037433903
2.41,06037434001
2.41,06037434003
2.49,06037434004
2.16,06037434100
2.34,06037460001
2.01,06037460002
2.22,06037460101
2.03,06037460200
2.36,06037460301
1.71,06037460302
2.16,06037460401
2.41,06037460501
2.44,06037460502
2.48,06037460601
2.53,06037460700
2.2,06037460800
2.12,06037460900
2.25,06037461000
1.8,06037461100
1.99,06037461200
1.92,06037461300
1.46,06037461400
1.98,06037461501
1.84,06037461502
1.76,06037461600
1.67,06037461700
1.23,06037461901
1.02,06037461902
1.89,06037462001
1.56,06037462002
1.82,06037462100
1.02,06037462201
1.27,06037462202
1.54,06037462301
1.22,06037462302
1.88,06037462400
1.99,06037462500
1.94,06037462600
1.57,06037462700
1.76,06037462800
1.94,06037462900
1.8,06037463000
1.97,06037463103
1.59,06037463200
1.9,06037463300
1.78,06037463400
1.48,06037463500
1.2,06037463601
1.21,06037463602
1.52,06037463700
1.84,06037463800
1.54,06037463900
1.77,06037464000
2.21,06037464101
2.46,06037464102
2.4,06037464200
2.22,06037480002
1.81,06037480011
2.04,06037480012
2.03,06037480101
2.21,06037480102
2.11,06037480201
1.85,06037480202
1.65,06037480302
1.89,06037480303
1.56,06037480304
1.76,06037480400
1.85,06037480500
1.55,06037480601
1.64,06037480602
1.94,06037480702
2.18,06037480703
1.54,06037480704
2.19,06037480802
1.86,06037480803
1.66,06037480804
1.72,06037480901
1.62,06037480902
1.75,06037480903
1.55,06037481001
1.57,06037481002
1.77,06037481101
1.69,06037481102
1.89,06037481103
2.04,06037481201
2.15,06037481203
2.25,06037481300
2.09,06037481401
1.78,06037481403
2.18,06037481404
1.92,06037481500
1.7,06037481603
1.83,06037481604
1.93,06037481605
1.83,06037481606
1.58,06037481711
1.58,06037481712
