co2_metric_tons_per_household,GEOID
4.196,06037294200
4.345,06037294301
3.914,06037294302
3.222,06037294410
3.504,06037294421
4.134,06037294510
3.978,06037294520
3.555,06037294610
3.613,06037294620
2.941,06037294701
3.754,06037294810
3.526,06037294820
3.318,06037294830
3.763,06037294900
3.91,06037295103
2.797,06037296210
2.736,06037296220
3.688,06037296300
3.539,06037296401
3.703,06037296402
3.269,06037296500
2.89,06037296600
2.929,06037296901
3.201,06037296902
3.68,06037297000
2.766,06037297110
3.315,06037297120
3.429,06037297201
3.431,06037297202
3.621,06037297300
3.536,06037297400
3.773,06037297500
3.345,06037297602
4.209,06037300100
4.034,06037300200
4.06,06037300400
4.273,06037300501
3.842,06037300502
3.521,06037300600
3.924,06037300800
3.206,06037301000
3.214,06037301100
3.289,06037301203
3.088,06037301204
4.061,06037301205
3.513,06037301206
4.119,06037301300
4.394,06037301400
4.316,06037301501
3.243,06037301502
2.943,06037301601
3.603,06037301602
3.596,06037301701
3.345,06037301702
3.447,06037301801
2.992,06037301802
3.242,06037301900
2.73,06037302002
2.81,06037302003
3.292,06037302004
3.018,06037302102
3.009,06037302103
3.307,06037302104
1.889,06037302201
2.765,06037302202
3.543,06037302301
2.947,06037302302
2.892,06037302401
3.125,06037302503
2.878,06037302504
3.058,06037302505
3.247,06037302506
3.836,06037310201
3.541,06037310202
4.518,06037310300
3.844,06037310400
3.553,06037310501
3.496,06037310601
3.599,06037310602
2.422,06037310701
2.673,06037310702
2.852,06037310703
3.391,06037310800
3.884,06037310900
3.966,06037311000
4.324,06037311100
3.781,06037311200
3.897,06037311300
3.772,06037311400
3.391,06037311500
3.224,06037311600
3.834,06037311700
3.406,06037311801
3.177,06037311802
4.416,06037320100
4.055,06037320201
4.397,06037320202
3.75,06037320300
4.3,06037400206
3.31,06037400302
3.819,06037400304
3.822,06037400602
3.539,06037400800
4.115,06037400900
4.411,06037401001
3.492,06037401002
3.263,06037401101
3.634,06037401102
4.448,06037401201
4.285,06037401202
4.185,06037401203
3.827,06037401311
3.387,06037401312
4.032,06037401500
3.245,06037401601
3.939,06037401602
2.719,06037401603
3.455,06037401701
3.764,06037401703
3.396,06037401704
4.037,06037401800
3.986,06037401901
3.098,06037401902
3.533,06037402001
3.295,06037402002
4.429,06037402101
4.116,06037402102
4.079,06037402200
4.245,06037402301
3.78,06037402303
3.484,06037402304
4.178,06037402403
4.355,06037402405
4.172,06037402406
3.996,06037402501
3.824,06037402502
3.27,06037402600
3.612,06037402702
4.139,06037402703
4.241,06037402705
4.285,06037402706
3.74,06037402801
3.898,06037402803
4.135,06037402804
4.029,06037402902
4.198,06037402903
4.464,06037402904
4.2,06037403000
4.041,06037403304
4.553,06037403305
3.81,06037403316
4.524,06037403318
3.926,06037403319
4.452,06037403320
4.625,06037403322
4.385,06037403323
4.332,06037403401
4.188,06037403402
4.727,06037403403
4.237,06037403406
4.321,06037403408
3.929,06037403600
4.294,06037403702
3.944,06037403703
3.996,06037403721
3.652,06037403722
4.097,06037403801
4.002,06037403802
4.245,06037403901
4.119,06037403902
4.062,06037404000
4.417,06037404100
3.764,06037404201
3.804,06037404202
4.096,06037404301
4.26,06037404302
4.21,06037404401
4.713,06037404402
3.981,06037404501
4.21,06037404503
3.785,06037404504
4.156,06037404701
4.093,06037404702
3.982,06037404703
4.314,06037404801
4.131,06037404802
4.164,06037404803
4.466,06037404901
