B19013_001E,geoid
81442,06037481102
76930,06037481103
91042,06037481201
79504,06037481203
75549,06037481300
83512,06037481401
79612,06037481403
74183,06037481404
78479,06037481500
81974,06037481603
79609,06037481604
88542,06037481605
73344,06037481606
55797,06037481711
44688,06037481712
60600,06037481713
42713,06037481714
126875,06037481800
119110,06037481901
83963,06037481902
126083,06037482001
105272,06037482002
85905,06037482101
107664,06037482102
59922,06037482201
67712,06037482202
81389,06037482301
67000,06037482303
57200,06037482304
68750,06037482401
47125,06037482403
71000,06037482404
73125,06037482502
80933,06037482503
80000,06037482521
85417,06037482522
104503,06037482600
73750,06037482701
97379,06037482702
87182,06037482801
213897,06037500100
142868,06037500202
141955,06037500203
158207,06037500204
120694,06037500300
66940,06037500402
86134,06037500403
102880,06037500404
70585,06037500500
100375,06037500600
90761,06037500700
114310,06037500800
54531,06037500900
106500,06037501001
113222,06037501002
94032,06037501200
89432,06037501301
101000,06037501302
89500,06037501400
132857,06037501501
83831,06037501503
50685,06037501504
112614,06037501600
121042,06037501700
91742,06037501802
61890,06037501803
61438,06037501804
101042,06037501900
78370,06037502003
72344,06037502004
91617,06037502005
88021,06037502100
112851,06037502200
67126,06037502303
84511,06037502401
91856,06037502402
91563,06037502500
77832,06037502602
123885,06037502603
110250,06037502604
91673,06037502700
100074,06037502801
123143,06037502901
105278,06037503000
108475,06037503103
83750,06037503104
120890,06037503105
86568,06037503106
101750,06037503201
93482,06037503202
125568,06037503301
89500,06037503302
105712,06037503401
98016,06037503402
101520,06037503501
91981,06037503502
104940,06037503601
144191,06037503602
102043,06037503701
113173,06037503702
66162,06037503704
113169,06037503705
102813,06037503801
105732,06037503802
142500,06037503901
124821,06037503902
-666666666,06037504001
134786,06037504002
90341,06037504101
73338,06037504200
127417,06037530005
87237,06037530006
76780,06037530007
42972,06037530101
54674,06037530102
114550,06037530202
52226,06037530203
67500,06037530204
64071,06037530301
69522,06037530302
40889,06037530400
70307,06037530500
89718,06037530603
90685,06037530700
87478,06037530801
74271,06037530802
67700,06037530901
41205,06037530902
82531,06037531000
72727,06037531101
50900,06037531102
75183,06037531201
53875,06037531202
64259,06037531301
59555,06037531302
52083,06037531502
71938,06037531503
63163,06037531504
64839,06037531602
68721,06037531603
57411,06037531604
69697,06037531701
79722,06037531702
86369,06037531800
65333,06037531901
76694,06037531902
64198,06037532001
81516,06037532002
59203,06037532101
113977,06037532102
77926,06037532200
67736,06037532302
77938,06037532303
66176,06037532304
57586,06037532500
54006,06037532605
49154,06037532606
52778,06037532607
60743,06037532700
48952,06037532800
42704,06037532900
75236,06037533001
55625,06037533002
52963,06037533103
44131,06037533104
50658,06037533105
56473,06037533108
67632,06037533201
69063,06037533204
51667,06037533300
60737,06037533401
59886,06037533402
68697,06037533403
74286,06037533501
62917,06037533504
66964,06037533601
59846,06037533602
50036,06037533603
57169,06037533701
70643,06037533702
59886,06037533703
48000,06037533803
72852,06037533804
60504,06037533805
70370,06037533806
53919,06037533901
57803,06037533902
64886,06037534001
80500,06037534002
54107,06037534101
48229,06037534102
54766,06037534201
49656,06037534202
48545,06037534203
44792,06037534301
62500,06037534302
52139,06037534403
54063,06037534404
54523,06037534405
50653,06037534406
62083,06037534501
76302,06037534502
87756,06037534700
70203,06037534802
80440,06037534803
75172,06037534804
80441,06037534900
57241,06037535001
49621,06037535002
66287,06037535101
