B25018_001E,geoid
4.4,06037310202
6.7,06037310300
5.2,06037310400
3.3,06037310501
3.2,06037310601
4.3,06037310602
2.8,06037310701
3.2,06037310703
3.1,06037310704
2.8,06037310705
4.6,06037310800
5.5,06037310900
4.7,06037311000
5.5,06037311100
4.7,06037311200
4.7,06037311300
5.1,06037311400
4.4,06037311500
4.3,06037311601
3.1,06037311602
5.3,06037311700
3.4,06037311801
3.6,06037311802
5.7,06037320101
5.6,06037320102
4.0,06037320201
5.3,06037320202
4.9,06037320300
7.5,06037400205
7.4,06037400206
7.3,06037400207
7.9,06037400208
7.1,06037400209
5.1,06037400304
5.7,06037400402
6.2,06037400403
7.0,06037400404
8.1,06037400501
4.8,06037400602
4.5,06037400603
5.7,06037400605
6.1,06037400801
6.8,06037401001
4.9,06037401002
5.0,06037401101
4.4,06037401102
6.1,06037401201
6.1,06037401202
5.7,06037401203
7.3,06037401303
6.9,06037401304
5.2,06037401311
5.3,06037401312
5.4,06037401500
5.0,06037401601
4.7,06037401602
6.7,06037401705
4.2,06037401706
4.6,06037401707
6.5,06037401801
6.5,06037401802
4.7,06037401901
4.5,06037401902
4.9,06037402001
5.1,06037402002
5.8,06037402101
6.1,06037402102
5.3,06037402200
5.5,06037402301
4.3,06037402303
4.3,06037402304
5.6,06037402403
-666666666.0,06037402404
5.7,06037402405
4.7,06037402406
3.9,06037402501
4.9,06037402503
4.7,06037402504
5.1,06037402601
4.2,06037402602
3.9,06037402702
5.3,06037402703
5.4,06037402705
5.3,06037402706
4.6,06037402801
4.6,06037402803
4.4,06037402804
5.0,06037402902
4.9,06037402903
5.3,06037402904
5.4,06037403000
5.2,06037403305
5.8,06037403316
6.1,06037403317
6.1,06037403318
4.8,06037403319
7.2,06037403320
6.7,06037403321
5.7,06037403323
6.3,06037403324
6.3,06037403325
5.9,06037403326
6.0,06037403327
5.7,06037403328
6.1,06037403401
6.1,06037403402
7.0,06037403403
7.3,06037403404
7.9,06037403407
6.8,06037403408
6.2,06037403409
5.8,06037403500
6.1,06037403601
6.1,06037403702
6.1,06037403703
5.7,06037403721
4.5,06037403722
4.7,06037403801
5.0,06037403802
5.6,06037403901
5.6,06037403902
5.3,06037404000
5.5,06037404100
